,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.978,0.212,0.607,1.366,0.006,0.005,1379.368,1654.678,1.001
rho_weight,0.194,0.031,0.132,0.248,0.001,0.001,958.134,1268.835,1.001
alpha_workout,0.358,0.148,0.14,0.639,0.005,0.005,860.659,1074.01,1.005
rho_workout,1.427,0.882,0.35,3.154,0.053,0.069,392.106,287.678,1.013
beta,-0.257,0.843,-1.932,1.233,0.019,0.02,1987.25,1333.451,1.002
sigma_weight,0.376,0.026,0.326,0.426,0.0,0.001,3254.396,1397.171,1.002
sigma_workout,0.01,0.0,0.01,0.011,0.0,0.0,2095.02,875.608,1.001
nu_weight,24.871,14.116,5.908,52.272,0.287,0.389,2439.056,1489.615,1.001
nu_workout,1.04,0.04,1.0,1.116,0.001,0.001,2662.648,1254.759,1.002
"eta_inducing_raw[0, 0]",-1.682,0.473,-2.567,-0.828,0.011,0.011,1909.118,1511.665,1.001
"eta_inducing_raw[0, 1]",-1.309,0.485,-2.247,-0.519,0.017,0.012,857.188,1060.977,1.005
"eta_inducing_raw[1, 0]",-0.605,0.757,-2.07,0.788,0.016,0.016,2106.534,1570.054,1.0
"eta_inducing_raw[1, 1]",-0.019,0.682,-1.26,1.367,0.016,0.019,1894.388,984.766,1.003
"eta_inducing_raw[2, 0]",-0.689,0.944,-2.406,1.114,0.016,0.023,3380.159,1608.06,1.001
"eta_inducing_raw[2, 1]",-0.047,0.851,-1.632,1.509,0.015,0.02,3054.515,1474.428,1.002
"eta_inducing_raw[3, 0]",-0.789,0.904,-2.438,0.838,0.016,0.023,3305.46,1580.148,1.001
"eta_inducing_raw[3, 1]",-0.096,0.951,-1.928,1.665,0.017,0.024,2965.676,1620.479,1.0
"eta_inducing_raw[4, 0]",-0.631,0.956,-2.259,1.261,0.016,0.022,3442.864,1722.107,1.004
"eta_inducing_raw[4, 1]",-0.081,0.972,-1.834,1.71,0.016,0.022,3484.828,1835.281,1.001
"eta_inducing_raw[5, 0]",-0.533,0.964,-2.259,1.217,0.016,0.027,3457.899,1648.124,1.003
"eta_inducing_raw[5, 1]",-0.128,0.986,-1.915,1.751,0.017,0.021,3271.402,1674.204,1.0
"eta_inducing_raw[6, 0]",-0.43,0.933,-2.104,1.311,0.016,0.021,3236.075,1495.515,1.007
"eta_inducing_raw[6, 1]",-0.144,0.999,-2.133,1.626,0.017,0.025,3343.679,1550.985,1.002
"eta_inducing_raw[7, 0]",-0.284,0.981,-2.069,1.574,0.016,0.024,3805.732,1599.192,1.001
"eta_inducing_raw[7, 1]",-0.168,0.982,-2.035,1.674,0.017,0.022,3173.795,1577.582,1.004
"eta_inducing_raw[8, 0]",-0.103,0.916,-1.755,1.615,0.017,0.02,2941.163,1607.072,1.002
"eta_inducing_raw[8, 1]",-0.169,0.975,-1.991,1.612,0.016,0.025,3770.069,1327.827,1.004
"eta_inducing_raw[9, 0]",0.036,0.936,-1.731,1.703,0.017,0.023,3099.629,1584.229,1.0
"eta_inducing_raw[9, 1]",-0.174,1.018,-2.077,1.781,0.018,0.025,3039.115,1399.21,1.001
"eta_inducing_raw[10, 0]",0.179,0.991,-1.739,1.882,0.02,0.024,2415.529,1216.949,1.002
"eta_inducing_raw[10, 1]",-0.212,0.966,-2.066,1.547,0.015,0.025,3913.421,1542.895,1.003
"eta_inducing_raw[11, 0]",0.322,0.952,-1.365,2.172,0.017,0.019,3105.667,1770.241,1.001
"eta_inducing_raw[11, 1]",-0.199,0.926,-1.999,1.494,0.015,0.023,3671.737,1361.3,1.003
"eta_inducing_raw[12, 0]",0.424,0.979,-1.535,2.232,0.017,0.026,3254.651,1278.317,1.001
"eta_inducing_raw[12, 1]",-0.221,0.989,-2.057,1.623,0.016,0.026,3835.804,1385.892,1.0
"eta_inducing_raw[13, 0]",0.468,0.953,-1.316,2.295,0.02,0.023,2228.445,1494.277,1.002
"eta_inducing_raw[13, 1]",-0.228,0.933,-2.029,1.421,0.018,0.023,2666.907,1462.774,1.0
"eta_inducing_raw[14, 0]",0.485,0.914,-1.293,2.089,0.015,0.021,3508.314,1565.992,1.002
"eta_inducing_raw[14, 1]",-0.187,0.937,-1.882,1.662,0.016,0.023,3624.194,1756.135,1.001
"eta_inducing_raw[15, 0]",0.475,0.96,-1.238,2.362,0.019,0.024,2564.953,1546.164,1.0
"eta_inducing_raw[15, 1]",-0.189,1.012,-2.067,1.731,0.019,0.025,2984.29,1482.41,1.004
"eta_inducing_raw[16, 0]",0.454,0.976,-1.485,2.158,0.017,0.023,3112.936,1307.938,0.999
"eta_inducing_raw[16, 1]",-0.191,1.001,-1.985,1.662,0.016,0.025,3701.343,1327.113,1.004
"eta_inducing_raw[17, 0]",0.418,0.949,-1.273,2.29,0.017,0.025,3252.142,1521.819,0.999
"eta_inducing_raw[17, 1]",-0.167,0.952,-1.897,1.746,0.015,0.025,4123.129,1281.078,1.01
"eta_inducing_raw[18, 0]",0.361,0.965,-1.341,2.316,0.018,0.023,2961.024,1386.536,1.001
"eta_inducing_raw[18, 1]",-0.166,0.977,-2.094,1.585,0.016,0.024,3544.22,1503.14,1.0
"eta_inducing_raw[19, 0]",0.311,0.915,-1.403,1.964,0.017,0.019,3060.015,1695.958,1.001
"eta_inducing_raw[19, 1]",-0.14,0.998,-1.905,1.843,0.017,0.021,3494.311,1717.439,1.0
