,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.981,0.221,0.613,1.408,0.005,0.005,1638.011,1440.767,1.002
rho_weight,0.194,0.032,0.134,0.253,0.001,0.001,951.637,849.038,1.002
alpha_workout,0.239,0.114,0.078,0.459,0.004,0.004,960.125,1142.346,1.005
rho_workout,1.615,0.865,0.508,3.345,0.042,0.034,426.804,701.955,1.005
beta,-0.243,0.902,-2.048,1.397,0.017,0.02,2869.802,1376.156,1.0
sigma_weight,0.377,0.026,0.331,0.43,0.0,0.001,3155.692,1373.418,1.0
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,2528.364,1035.211,1.001
nu_weight,24.705,13.706,5.494,50.624,0.269,0.388,2704.87,1545.372,1.001
nu_workout,1.091,0.077,1.0,1.229,0.001,0.002,2249.347,979.725,0.999
"eta_inducing_raw[0, 0]",-1.672,0.472,-2.529,-0.785,0.01,0.01,2104.778,1590.547,1.0
"eta_inducing_raw[0, 1]",-1.272,0.523,-2.239,-0.427,0.017,0.013,957.73,1196.013,1.005
"eta_inducing_raw[1, 0]",-0.572,0.746,-1.998,0.795,0.016,0.016,2181.557,1473.585,1.001
"eta_inducing_raw[1, 1]",-0.057,0.715,-1.386,1.319,0.017,0.021,1900.43,1199.535,1.001
"eta_inducing_raw[2, 0]",-0.621,0.94,-2.457,1.031,0.017,0.02,2915.311,1441.208,1.002
"eta_inducing_raw[2, 1]",-0.043,0.838,-1.635,1.504,0.016,0.019,2746.767,1468.484,1.003
"eta_inducing_raw[3, 0]",-0.803,0.9,-2.401,0.935,0.017,0.021,2977.408,1590.825,1.001
"eta_inducing_raw[3, 1]",-0.05,0.92,-1.556,1.823,0.018,0.025,2767.437,1236.367,1.002
"eta_inducing_raw[4, 0]",-0.631,0.943,-2.329,1.176,0.017,0.027,3271.818,1357.652,1.006
"eta_inducing_raw[4, 1]",-0.064,0.946,-1.957,1.582,0.018,0.025,2872.439,1401.317,1.004
"eta_inducing_raw[5, 0]",-0.54,0.93,-2.075,1.374,0.016,0.021,3516.969,1578.466,0.999
"eta_inducing_raw[5, 1]",-0.071,0.992,-1.896,1.846,0.016,0.027,3945.748,1226.411,1.008
"eta_inducing_raw[6, 0]",-0.418,0.988,-2.193,1.459,0.018,0.023,3060.286,1215.08,1.004
"eta_inducing_raw[6, 1]",-0.125,0.936,-1.782,1.614,0.015,0.023,3675.118,1449.801,1.003
"eta_inducing_raw[7, 0]",-0.277,0.967,-1.961,1.647,0.016,0.025,3489.013,1328.593,1.0
"eta_inducing_raw[7, 1]",-0.121,0.937,-1.814,1.656,0.017,0.022,3058.644,1519.621,1.002
"eta_inducing_raw[8, 0]",-0.111,0.952,-1.958,1.665,0.016,0.024,3638.481,1495.016,1.005
"eta_inducing_raw[8, 1]",-0.143,0.979,-1.975,1.699,0.019,0.026,2711.557,1402.161,1.0
"eta_inducing_raw[9, 0]",0.044,0.971,-1.902,1.724,0.018,0.026,2936.33,1368.466,1.005
"eta_inducing_raw[9, 1]",-0.158,0.918,-2.011,1.5,0.016,0.022,3376.803,1408.871,1.002
"eta_inducing_raw[10, 0]",0.188,0.969,-1.633,1.96,0.017,0.027,3058.151,1477.065,1.004
"eta_inducing_raw[10, 1]",-0.124,0.966,-1.947,1.738,0.016,0.026,3887.481,1295.126,1.004
"eta_inducing_raw[11, 0]",0.318,0.968,-1.578,2.014,0.016,0.024,3512.294,1439.172,1.0
"eta_inducing_raw[11, 1]",-0.211,0.967,-2.012,1.659,0.016,0.025,3508.775,1185.891,1.003
"eta_inducing_raw[12, 0]",0.408,0.905,-1.381,2.005,0.015,0.023,3720.544,1320.733,1.003
"eta_inducing_raw[12, 1]",-0.143,0.924,-1.917,1.542,0.017,0.024,2944.194,1478.058,1.001
"eta_inducing_raw[13, 0]",0.497,0.989,-1.481,2.197,0.017,0.028,3265.703,1302.175,1.0
"eta_inducing_raw[13, 1]",-0.167,0.991,-2.136,1.655,0.016,0.028,3929.222,1388.525,1.004
"eta_inducing_raw[14, 0]",0.487,0.922,-1.294,2.142,0.015,0.021,3696.628,1735.178,1.003
"eta_inducing_raw[14, 1]",-0.206,0.97,-1.805,1.832,0.018,0.022,2929.623,1399.63,1.004
"eta_inducing_raw[15, 0]",0.503,0.935,-1.325,2.166,0.016,0.023,3406.681,1457.571,1.004
"eta_inducing_raw[15, 1]",-0.221,0.938,-2.056,1.441,0.016,0.022,3479.745,1399.124,1.001
"eta_inducing_raw[16, 0]",0.451,0.949,-1.431,2.112,0.016,0.023,3545.086,1457.472,1.0
"eta_inducing_raw[16, 1]",-0.189,1.002,-2.054,1.648,0.017,0.025,3359.976,1404.153,1.003
"eta_inducing_raw[17, 0]",0.454,0.957,-1.238,2.234,0.015,0.025,3777.504,1389.599,1.007
"eta_inducing_raw[17, 1]",-0.164,0.974,-1.96,1.666,0.018,0.027,3017.184,1258.73,1.002
"eta_inducing_raw[18, 0]",0.396,0.973,-1.42,2.224,0.015,0.026,4203.308,1444.424,1.0
"eta_inducing_raw[18, 1]",-0.177,0.973,-2.061,1.595,0.015,0.024,4170.884,1624.701,1.001
"eta_inducing_raw[19, 0]",0.321,0.95,-1.402,2.135,0.017,0.024,3068.6,1493.972,1.004
"eta_inducing_raw[19, 1]",-0.136,0.939,-1.846,1.6,0.017,0.02,3050.04,1427.913,1.002
"eta_inducing_raw[20, 0]",0.253,0.954,-1.547,2.076,0.015,0.025,3841.92,1431.09,1.004
"eta_inducing_raw[20, 1]",-0.17,0.992,-1.922,1.672,0.016,0.025,3933.452,1462.383,1.003
"eta_inducing_raw[21, 0]",0.189,1.016,-1.701,2.063,0.018,0.025,3230.099,1382.531,1.001
"eta_inducing_raw[21, 1]",-0.169,0.994,-2.132,1.62,0.015,0.023,4145.982,1620.67,1.004
"eta_inducing_raw[22, 0]",0.128,0.979,-1.558,2.071,0.017,0.029,3227.228,1183.958,1.001
"eta_inducing_raw[22, 1]",-0.114,0.981,-1.837,1.813,0.018,0.022,3002.413,1505.217,1.005
"eta_inducing_raw[23, 0]",0.041,0.979,-1.702,1.993,0.018,0.024,3018.723,1443.968,1.002
"eta_inducing_raw[23, 1]",-0.136,0.969,-1.918,1.678,0.017,0.027,3419.262,1056.274,1.007
"eta_inducing_raw[24, 0]",0.005,0.972,-1.826,1.853,0.018,0.027,2965.3,1379.359,1.001
"eta_inducing_raw[24, 1]",-0.143,1.021,-2.14,1.652,0.018,0.027,3387.717,1265.333,1.01
"eta_inducing_raw[25, 0]",-0.094,0.968,-1.87,1.818,0.016,0.026,3557.779,1146.916,1.001
"eta_inducing_raw[25, 1]",-0.14,1.012,-1.833,1.979,0.016,0.025,4098.065,1470.108,1.004
"eta_inducing_raw[26, 0]",-0.131,0.948,-1.931,1.576,0.017,0.023,3239.54,1520.479,1.004
"eta_inducing_raw[26, 1]",-0.103,0.942,-1.825,1.736,0.017,0.024,3271.535,1287.801,1.0
"eta_inducing_raw[27, 0]",-0.169,0.905,-1.796,1.613,0.016,0.022,3297.438,1416.392,1.002
"eta_inducing_raw[27, 1]",-0.125,1.023,-2.06,1.825,0.018,0.028,3099.133,1364.469,1.001
"eta_inducing_raw[28, 0]",-0.152,0.968,-2.025,1.625,0.016,0.026,3538.9,1435.028,1.006
"eta_inducing_raw[28, 1]",-0.111,0.964,-1.848,1.681,0.016,0.023,3673.821,1242.617,1.001
"eta_inducing_raw[29, 0]",-0.129,0.902,-1.943,1.522,0.017,0.024,2767.602,1314.973,1.0
