,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.979,0.211,0.633,1.391,0.005,0.005,1587.501,1523.932,1.0
rho_weight,0.192,0.031,0.132,0.251,0.001,0.001,990.754,1084.864,1.003
alpha_workout,0.353,0.145,0.144,0.611,0.004,0.005,1150.099,1215.569,1.002
rho_workout,1.411,0.837,0.414,3.116,0.041,0.034,469.347,948.876,1.005
beta,-0.274,0.786,-1.763,1.174,0.014,0.018,3303.314,1775.644,1.003
lag_days,2.993,2.945,0.004,8.31,0.05,0.098,3094.139,1251.91,1.001
sigma_weight,0.378,0.026,0.329,0.429,0.0,0.001,2889.506,1359.08,1.0
sigma_workout,0.01,0.0,0.01,0.011,0.0,0.0,2295.84,990.902,1.001
nu_weight,25.269,14.485,5.574,51.157,0.247,0.479,3819.04,1569.7,1.002
nu_workout,1.038,0.037,1.0,1.102,0.001,0.001,2273.693,867.064,1.003
"eta_inducing_raw[0, 0]",-1.684,0.475,-2.633,-0.871,0.01,0.015,2202.891,1461.558,1.0
"eta_inducing_raw[0, 1]",-1.328,0.491,-2.237,-0.515,0.014,0.01,1160.095,1201.255,1.002
"eta_inducing_raw[1, 0]",-0.598,0.75,-2.004,0.797,0.017,0.018,2083.274,1314.996,1.0
"eta_inducing_raw[1, 1]",-0.051,0.669,-1.198,1.326,0.013,0.018,2943.126,1319.042,1.001
"eta_inducing_raw[2, 0]",-0.66,0.943,-2.4,1.075,0.015,0.023,3854.426,1705.802,1.0
"eta_inducing_raw[2, 1]",-0.011,0.848,-1.445,1.764,0.013,0.021,4000.382,1585.46,1.009
"eta_inducing_raw[3, 0]",-0.791,0.945,-2.67,0.958,0.016,0.023,3264.407,1515.824,1.003
"eta_inducing_raw[3, 1]",-0.086,0.924,-1.888,1.619,0.015,0.024,4020.205,1496.43,1.002
"eta_inducing_raw[4, 0]",-0.652,0.922,-2.411,1.028,0.016,0.023,3515.708,1452.834,1.005
"eta_inducing_raw[4, 1]",-0.09,1.016,-2.176,1.688,0.014,0.03,5336.418,1222.201,1.002
"eta_inducing_raw[5, 0]",-0.525,0.949,-2.156,1.383,0.016,0.022,3473.097,1668.743,1.006
"eta_inducing_raw[5, 1]",-0.138,0.963,-1.97,1.738,0.015,0.027,4372.728,1417.162,1.005
"eta_inducing_raw[6, 0]",-0.45,0.986,-2.28,1.517,0.018,0.027,2823.221,1389.77,1.003
"eta_inducing_raw[6, 1]",-0.137,1.024,-1.939,2.008,0.016,0.032,4361.565,1174.3,1.011
"eta_inducing_raw[7, 0]",-0.318,0.945,-2.118,1.443,0.015,0.023,3824.807,1535.993,1.002
"eta_inducing_raw[7, 1]",-0.144,0.998,-2.069,1.629,0.016,0.032,3906.672,1159.31,1.003
"eta_inducing_raw[8, 0]",-0.098,0.92,-1.868,1.629,0.017,0.022,2933.098,1315.009,1.001
"eta_inducing_raw[8, 1]",-0.185,0.926,-1.973,1.456,0.017,0.023,2960.183,1398.312,1.0
"eta_inducing_raw[9, 0]",0.04,0.935,-1.67,1.787,0.015,0.023,3790.133,1536.878,1.003
"eta_inducing_raw[9, 1]",-0.185,0.985,-1.907,1.777,0.016,0.027,3971.53,1415.431,1.0
"eta_inducing_raw[10, 0]",0.189,0.941,-1.589,1.974,0.014,0.027,4691.251,1315.704,1.005
"eta_inducing_raw[10, 1]",-0.216,0.954,-1.909,1.638,0.016,0.024,3664.558,1663.097,1.001
"eta_inducing_raw[11, 0]",0.286,0.938,-1.522,1.971,0.015,0.023,3696.031,1363.646,1.0
