,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.961,0.21,0.575,1.342,0.006,0.005,1239.129,1274.875,1.001
rho_weight,0.191,0.033,0.123,0.247,0.001,0.001,767.543,778.572,1.005
alpha_workout,0.152,0.072,0.05,0.282,0.003,0.003,655.933,364.238,1.007
rho_workout,1.227,0.717,0.373,2.589,0.031,0.034,505.28,492.545,1.002
beta,-0.153,0.91,-1.83,1.574,0.019,0.019,2346.467,1419.338,1.0
lag_days,3.072,3.208,0.001,8.584,0.067,0.146,1140.528,515.439,1.001
sigma_weight,0.378,0.026,0.329,0.428,0.001,0.001,2380.157,1388.874,1.001
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,1904.634,1029.387,1.002
nu_weight,26.018,15.354,5.364,54.6,0.359,0.525,2023.813,946.708,1.001
nu_workout,1.425,0.224,1.029,1.82,0.005,0.006,1540.629,681.445,1.006
"eta_inducing_raw[0, 0]",-1.709,0.508,-2.696,-0.768,0.013,0.012,1518.808,1247.459,1.002
"eta_inducing_raw[0, 1]",-1.154,0.504,-2.038,-0.355,0.02,0.016,605.864,339.406,1.003
"eta_inducing_raw[1, 0]",-0.549,0.723,-1.869,0.774,0.019,0.015,1409.974,1304.38,1.001
"eta_inducing_raw[1, 1]",-0.125,0.753,-1.557,1.204,0.017,0.019,2000.111,1106.521,1.001
"eta_inducing_raw[2, 0]",-0.647,0.907,-2.203,1.103,0.019,0.02,2302.492,1592.962,1.005
"eta_inducing_raw[2, 1]",-0.147,0.876,-1.962,1.372,0.019,0.022,2072.109,769.49,1.005
"eta_inducing_raw[3, 0]",-0.725,0.929,-2.498,0.937,0.022,0.021,1852.208,1527.744,1.0
"eta_inducing_raw[3, 1]",-0.095,0.915,-1.778,1.604,0.018,0.022,2685.832,1735.853,1.001
"eta_inducing_raw[4, 0]",-0.662,0.921,-2.35,1.147,0.02,0.021,2175.223,1216.253,1.002
"eta_inducing_raw[4, 1]",-0.065,0.939,-1.837,1.673,0.018,0.022,2745.093,1536.718,1.008
"eta_inducing_raw[5, 0]",-0.523,1.019,-2.424,1.444,0.025,0.031,1674.314,441.186,1.004
"eta_inducing_raw[5, 1]",-0.065,1.016,-1.947,1.822,0.019,0.029,2890.1,1150.653,1.005
"eta_inducing_raw[6, 0]",-0.426,0.983,-2.377,1.282,0.024,0.023,1658.092,1429.308,1.002
"eta_inducing_raw[6, 1]",-0.075,0.994,-1.953,1.759,0.022,0.027,2074.041,835.367,1.001
"eta_inducing_raw[7, 0]",-0.334,0.951,-2.277,1.37,0.021,0.025,1939.187,1510.701,1.001
"eta_inducing_raw[7, 1]",-0.08,0.975,-1.865,1.754,0.025,0.028,1477.125,489.375,1.001
"eta_inducing_raw[8, 0]",-0.122,0.956,-1.738,1.671,0.021,0.023,2130.919,1592.842,1.003
"eta_inducing_raw[8, 1]",-0.127,0.964,-2.103,1.537,0.019,0.024,2633.019,1359.376,1.001
"eta_inducing_raw[9, 0]",0.005,0.959,-1.724,1.821,0.022,0.023,1897.246,1222.33,1.003
"eta_inducing_raw[9, 1]",-0.113,0.952,-1.871,1.711,0.015,0.024,3795.084,1449.653,1.006
"eta_inducing_raw[10, 0]",0.2,0.947,-1.559,2.008,0.022,0.022,1878.725,1425.294,1.003
"eta_inducing_raw[10, 1]",-0.135,0.995,-2.02,1.695,0.03,0.025,1109.747,536.378,1.004
"eta_inducing_raw[11, 0]",0.349,0.991,-1.348,2.281,0.023,0.022,1766.873,686.034,1.004
"eta_inducing_raw[11, 1]",-0.164,0.991,-1.93,1.648,0.024,0.02,1716.586,1407.231,1.002
"eta_inducing_raw[12, 0]",0.425,0.918,-1.298,2.174,0.022,0.026,1791.943,1084.193,1.002
"eta_inducing_raw[12, 1]",-0.166,1.036,-1.918,1.954,0.033,0.041,1038.474,379.697,1.003
"eta_inducing_raw[13, 0]",0.465,0.899,-1.135,2.192,0.02,0.019,2047.258,1331.619,1.0
"eta_inducing_raw[13, 1]",-0.166,0.963,-1.951,1.527,0.019,0.022,2502.327,1546.341,1.004
"eta_inducing_raw[14, 0]",0.486,0.972,-1.292,2.351,0.025,0.03,1488.577,826.135,1.003
"eta_inducing_raw[14, 1]",-0.163,0.989,-1.904,1.662,0.018,0.026,3083.374,1599.975,1.002
"eta_inducing_raw[15, 0]",0.516,0.935,-1.364,2.157,0.02,0.021,2203.488,1564.234,1.005
"eta_inducing_raw[15, 1]",-0.16,1.008,-2.048,1.746,0.019,0.025,2854.14,1436.172,1.002
"eta_inducing_raw[16, 0]",0.475,0.976,-1.23,2.342,0.022,0.024,2157.22,1302.729,1.0
"eta_inducing_raw[16, 1]",-0.164,0.981,-2.107,1.559,0.02,0.023,2462.426,1392.648,1.001
"eta_inducing_raw[17, 0]",0.436,0.953,-1.257,2.181,0.021,0.021,2075.863,1426.606,1.001
"eta_inducing_raw[17, 1]",-0.122,0.999,-1.951,1.718,0.02,0.026,2617.074,1400.718,1.003
"eta_inducing_raw[18, 0]",0.408,0.917,-1.273,2.072,0.018,0.024,2505.699,1232.968,1.005
"eta_inducing_raw[18, 1]",-0.171,0.967,-1.978,1.622,0.021,0.025,2214.089,1465.905,1.001
"eta_inducing_raw[19, 0]",0.34,0.964,-1.41,2.203,0.021,0.025,2103.952,1255.808,1.004
"eta_inducing_raw[19, 1]",-0.172,0.991,-2.101,1.722,0.019,0.027,2810.986,1399.066,1.004
"eta_inducing_raw[20, 0]",0.319,0.914,-1.305,2.062,0.021,0.018,1971.819,1693.831,1.002
"eta_inducing_raw[20, 1]",-0.147,1.0,-2.014,1.731,0.019,0.024,2631.699,1108.938,1.0
"eta_inducing_raw[21, 0]",0.198,0.976,-1.725,1.956,0.02,0.023,2415.361,1390.682,1.002
"eta_inducing_raw[21, 1]",-0.135,0.987,-1.894,1.756,0.021,0.026,2305.017,1411.233,1.001
"eta_inducing_raw[22, 0]",0.138,0.954,-1.719,1.843,0.026,0.023,1357.622,591.933,1.003
"eta_inducing_raw[22, 1]",-0.098,1.004,-1.936,1.671,0.024,0.026,1754.524,1060.174,1.007
"eta_inducing_raw[23, 0]",0.1,0.952,-1.69,1.861,0.024,0.023,1631.711,1453.765,1.001
"eta_inducing_raw[23, 1]",-0.124,1.013,-2.022,1.71,0.019,0.022,2826.914,1511.395,1.002
"eta_inducing_raw[24, 0]",-0.01,0.965,-1.831,1.681,0.022,0.022,1951.972,1325.927,1.001
"eta_inducing_raw[24, 1]",-0.122,0.95,-1.929,1.649,0.02,0.026,2378.564,1059.911,1.001
