,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.967,0.214,0.604,1.376,0.006,0.005,1274.371,1579.983,0.999
rho_weight,0.192,0.032,0.125,0.246,0.001,0.001,882.118,1006.605,1.004
alpha_workout,0.243,0.118,0.088,0.473,0.004,0.005,872.646,927.613,1.002
rho_workout,1.659,0.961,0.378,3.561,0.054,0.052,380.556,402.732,1.011
beta,-0.23,0.929,-1.978,1.518,0.015,0.02,3763.374,1712.888,0.999
lag_days,2.978,3.174,0.001,8.52,0.06,0.182,2771.411,1041.368,1.0
sigma_weight,0.378,0.026,0.331,0.43,0.001,0.001,2530.897,1492.969,1.006
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,2569.227,900.54,1.0
nu_weight,25.079,13.85,5.976,51.658,0.245,0.408,2898.202,1510.361,1.0
nu_workout,1.093,0.084,1.0,1.249,0.001,0.002,2571.753,1238.9,1.001
"eta_inducing_raw[0, 0]",-1.681,0.485,-2.538,-0.761,0.012,0.011,1723.017,1633.281,1.0
"eta_inducing_raw[0, 1]",-1.26,0.523,-2.19,-0.364,0.017,0.012,863.985,938.631,1.002
"eta_inducing_raw[1, 0]",-0.598,0.745,-2.003,0.807,0.016,0.017,2214.631,1547.581,1.005
"eta_inducing_raw[1, 1]",-0.057,0.742,-1.493,1.382,0.017,0.02,1928.035,1341.85,1.0
"eta_inducing_raw[2, 0]",-0.656,0.892,-2.378,1.025,0.015,0.022,3449.627,1451.366,1.001
"eta_inducing_raw[2, 1]",-0.04,0.857,-1.563,1.606,0.018,0.018,2161.513,1492.292,1.001
"eta_inducing_raw[3, 0]",-0.763,0.926,-2.462,0.949,0.018,0.022,2768.678,1490.188,1.001
"eta_inducing_raw[3, 1]",-0.044,0.947,-1.825,1.758,0.02,0.021,2321.21,1312.785,0.999
"eta_inducing_raw[4, 0]",-0.629,0.933,-2.486,1.015,0.016,0.022,3266.417,1469.089,1.006
"eta_inducing_raw[4, 1]",-0.074,0.922,-1.817,1.637,0.015,0.022,3776.557,1559.456,1.002
"eta_inducing_raw[5, 0]",-0.522,0.975,-2.192,1.479,0.021,0.024,2200.661,1358.341,1.001
"eta_inducing_raw[5, 1]",-0.036,0.97,-1.949,1.778,0.017,0.023,3148.719,1423.234,1.004
"eta_inducing_raw[6, 0]",-0.432,0.995,-2.298,1.355,0.018,0.024,3134.773,1283.126,1.0
"eta_inducing_raw[6, 1]",-0.084,0.991,-1.823,1.917,0.019,0.022,2734.394,1685.64,1.0
