,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.989,0.22,0.62,1.409,0.006,0.005,1598.47,1418.08,1.002
rho_weight,0.194,0.032,0.132,0.251,0.001,0.001,875.832,933.615,1.004
alpha_workout,0.367,0.158,0.141,0.665,0.005,0.007,1158.054,919.575,1.002
rho_workout,1.371,0.817,0.395,2.989,0.047,0.058,353.936,445.976,1.022
beta,-0.307,0.805,-1.79,1.245,0.016,0.024,2619.249,1264.884,1.004
sigma_weight,0.377,0.027,0.326,0.426,0.0,0.001,3149.753,1515.985,1.004
sigma_workout,0.01,0.0,0.01,0.011,0.0,0.0,2655.646,1123.499,1.002
nu_weight,25.08,14.277,5.222,51.553,0.264,0.436,3228.731,1631.47,1.001
nu_workout,1.039,0.037,1.0,1.108,0.001,0.001,2395.452,1287.158,1.0
"eta_inducing_raw[0, 0]",-1.662,0.47,-2.546,-0.772,0.01,0.01,2110.911,1600.274,1.001
"eta_inducing_raw[0, 1]",-1.296,0.498,-2.258,-0.502,0.014,0.01,1161.471,928.555,1.002
"eta_inducing_raw[1, 0]",-0.638,0.776,-2.19,0.806,0.018,0.018,1866.534,1380.063,1.001
"eta_inducing_raw[1, 1]",-0.036,0.673,-1.275,1.329,0.014,0.021,2475.485,1157.981,1.012
"eta_inducing_raw[2, 0]",-0.647,0.924,-2.424,1.048,0.015,0.024,3991.475,1203.831,1.003
"eta_inducing_raw[2, 1]",-0.03,0.87,-1.674,1.496,0.014,0.022,3630.359,1281.108,1.004
"eta_inducing_raw[3, 0]",-0.787,0.922,-2.469,0.946,0.015,0.021,3594.768,1798.352,0.999
"eta_inducing_raw[3, 1]",-0.089,0.902,-1.774,1.491,0.014,0.028,4409.555,1572.988,1.003
"eta_inducing_raw[4, 0]",-0.628,0.898,-2.324,1.035,0.014,0.022,3957.289,1340.761,1.0
"eta_inducing_raw[4, 1]",-0.109,0.966,-1.86,1.72,0.015,0.024,3996.137,1339.24,1.0
"eta_inducing_raw[5, 0]",-0.533,0.981,-2.377,1.217,0.017,0.025,3482.407,1304.993,0.999
"eta_inducing_raw[5, 1]",-0.111,0.998,-2.068,1.689,0.014,0.024,4818.143,1585.159,1.007
"eta_inducing_raw[6, 0]",-0.446,0.981,-2.274,1.402,0.017,0.026,3197.651,1387.278,1.003
"eta_inducing_raw[6, 1]",-0.172,0.983,-2.019,1.658,0.016,0.025,3713.12,1190.53,1.007
"eta_inducing_raw[7, 0]",-0.283,0.956,-2.022,1.579,0.019,0.025,2612.596,1378.743,1.001
"eta_inducing_raw[7, 1]",-0.183,0.91,-1.953,1.403,0.015,0.02,3644.042,1395.888,1.002
"eta_inducing_raw[8, 0]",-0.107,0.969,-1.907,1.635,0.016,0.026,3670.981,1511.102,1.003
"eta_inducing_raw[8, 1]",-0.167,0.963,-1.826,1.838,0.016,0.023,3567.528,1537.426,1.0
"eta_inducing_raw[9, 0]",0.053,0.965,-1.767,1.802,0.017,0.025,3404.626,1540.615,1.002
"eta_inducing_raw[9, 1]",-0.167,0.973,-1.888,1.63,0.015,0.023,4224.833,1501.013,1.002
"eta_inducing_raw[10, 0]",0.191,0.952,-1.635,1.948,0.016,0.024,3419.514,1373.049,1.002
"eta_inducing_raw[10, 1]",-0.213,0.992,-2.194,1.573,0.016,0.025,4018.665,1391.241,1.006
"eta_inducing_raw[11, 0]",0.288,0.95,-1.448,2.103,0.016,0.022,3522.097,1540.98,1.001
"eta_inducing_raw[11, 1]",-0.225,0.996,-2.151,1.561,0.017,0.026,3450.093,1132.272,1.0
"eta_inducing_raw[12, 0]",0.392,0.953,-1.43,2.084,0.016,0.025,3572.062,1167.05,1.002
"eta_inducing_raw[12, 1]",-0.184,1.027,-2.024,1.825,0.017,0.027,3591.172,1294.374,1.001
"eta_inducing_raw[13, 0]",0.465,0.978,-1.331,2.307,0.017,0.03,3300.001,856.464,1.005
"eta_inducing_raw[13, 1]",-0.228,0.948,-1.913,1.677,0.015,0.027,4066.708,1342.245,1.006
"eta_inducing_raw[14, 0]",0.492,0.958,-1.351,2.229,0.016,0.027,3554.036,1229.683,1.001
"eta_inducing_raw[14, 1]",-0.218,0.987,-1.952,1.782,0.015,0.027,4661.756,1350.89,1.003
"eta_inducing_raw[15, 0]",0.461,0.994,-1.414,2.296,0.017,0.025,3574.691,1584.892,1.003
"eta_inducing_raw[15, 1]",-0.182,1.048,-2.065,1.936,0.017,0.03,3562.713,1252.376,1.003
"eta_inducing_raw[16, 0]",0.438,0.916,-1.211,2.214,0.015,0.023,3941.682,1609.523,1.003
"eta_inducing_raw[16, 1]",-0.174,0.99,-1.93,1.815,0.015,0.025,4605.025,1398.246,1.005
"eta_inducing_raw[17, 0]",0.41,0.936,-1.423,2.008,0.017,0.024,3144.069,1266.007,1.0
"eta_inducing_raw[17, 1]",-0.152,1.019,-2.109,1.622,0.019,0.033,3098.375,995.397,1.007
"eta_inducing_raw[18, 0]",0.342,0.927,-1.389,2.1,0.016,0.024,3276.48,1389.105,1.003
"eta_inducing_raw[18, 1]",-0.143,0.95,-1.756,1.74,0.016,0.022,3717.673,1644.389,1.003
"eta_inducing_raw[19, 0]",0.314,0.933,-1.517,2.019,0.016,0.023,3616.03,1224.368,1.0
"eta_inducing_raw[19, 1]",-0.165,1.002,-1.916,1.852,0.016,0.027,3812.306,1296.98,1.002
"eta_inducing_raw[20, 0]",0.229,0.941,-1.666,1.927,0.015,0.024,3875.47,1473.981,1.002
"eta_inducing_raw[20, 1]",-0.175,0.951,-1.933,1.609,0.015,0.021,3717.563,1286.463,1.0
"eta_inducing_raw[21, 0]",0.208,0.97,-1.616,2.041,0.017,0.026,3155.476,1200.013,1.003
"eta_inducing_raw[21, 1]",-0.144,0.967,-1.921,1.722,0.016,0.025,3883.528,1470.76,1.005
"eta_inducing_raw[22, 0]",0.129,0.945,-1.673,1.867,0.018,0.023,2774.772,1417.326,1.001
"eta_inducing_raw[22, 1]",-0.113,0.999,-1.885,1.909,0.016,0.027,3678.094,1299.269,1.0
"eta_inducing_raw[23, 0]",0.047,0.974,-1.905,1.782,0.016,0.025,3734.404,1253.397,1.003
"eta_inducing_raw[23, 1]",-0.125,0.955,-1.974,1.576,0.014,0.026,4538.445,1310.526,1.001
"eta_inducing_raw[24, 0]",-0.026,0.955,-1.911,1.697,0.017,0.027,3180.453,1161.201,1.003
"eta_inducing_raw[24, 1]",-0.09,0.954,-1.764,1.679,0.015,0.023,4218.502,1421.74,1.004
"eta_inducing_raw[25, 0]",-0.101,0.961,-1.988,1.64,0.018,0.027,2955.664,1320.086,1.002
"eta_inducing_raw[25, 1]",-0.069,0.983,-1.788,1.774,0.016,0.027,3549.487,1114.345,1.006
"eta_inducing_raw[26, 0]",-0.123,1.005,-2.155,1.672,0.016,0.027,3821.967,1499.655,1.0
"eta_inducing_raw[26, 1]",-0.099,0.991,-1.817,1.931,0.016,0.029,3771.572,865.898,1.001
"eta_inducing_raw[27, 0]",-0.187,0.935,-1.911,1.566,0.016,0.023,3228.569,1479.238,1.003
"eta_inducing_raw[27, 1]",-0.104,1.006,-2.019,1.818,0.016,0.027,4057.013,1035.172,1.004
"eta_inducing_raw[28, 0]",-0.183,0.978,-1.948,1.714,0.016,0.025,3583.067,1378.653,1.003
"eta_inducing_raw[28, 1]",-0.09,0.996,-1.825,1.954,0.016,0.026,3760.561,1317.692,1.0
"eta_inducing_raw[29, 0]",-0.146,0.972,-1.969,1.575,0.016,0.026,3877.397,1290.549,1.001
"eta_inducing_raw[29, 1]",-0.062,0.964,-1.869,1.748,0.016,0.025,3497.683,1270.882,1.005
"eta_inducing_raw[30, 0]",-0.102,0.958,-1.941,1.544,0.014,0.026,4914.405,1595.251,1.005
"eta_inducing_raw[30, 1]",-0.105,1.012,-2.126,1.668,0.018,0.031,3064.445,1091.182,1.003
