variable,lag_days,beta_mean,beta_std,beta_ci_low,beta_ci_high,beta_orig_mean,beta_orig_std,beta_orig_ci_low,beta_orig_ci_high,waic,loo,n_eff_beta,rhat_beta,n_weight_obs,n_workout_obs
strength_training,0.0,0.101516104375,0.9587778858027217,-1.74358525,1.9573274999999992,1.9047707919129153,17.98977732698326,-32.71530441260767,36.72580104567203,,,,,147,136
strength_training,1.0,-0.118894090818,0.9830998964535704,-2.000145,1.6880307499999996,-2.230838081459506,18.44613699300429,-37.52919597384479,31.672922126458932,,,,,147,136
strength_training,2.0,-0.12694580776999997,0.9513496335515642,-1.92401,1.7895814999999995,-2.3819143601380697,17.850399264654357,-36.100656875195114,33.57834298246733,,,,,147,136
strength_training,3.0,-0.1530607222665,0.9626006975132182,-1.974261,1.7558527499999994,-2.8719147071025892,18.06150565160689,-37.04352833045544,32.94548243050593,,,,,147,136
strength_training,7.0,-0.1666274111285,0.9465833591684858,-1.96726825,1.7381907499999991,-3.1264697143736497,17.760968525689098,-36.91232170036308,32.614086127092904,,,,,147,136
walking,0.0,0.2162572275975,0.9755208228135256,-1.70209975,2.1107639999999988,2.504792410537537,11.298938678028717,-19.714515825167847,24.447856408647358,,,,,147,83
walking,1.0,-0.1990209282415,0.9334251951423681,-1.99007625,1.587027,-2.305153525436242,10.811367419121353,-23.049994410677566,18.381689384813466,,,,,147,83
walking,2.0,-0.254276095905,0.9074147995188886,-2.0221329999999997,1.5132349999999983,-2.945144734720171,10.510102845092739,-23.421290690568593,17.526995908846022,,,,,147,83
walking,3.0,-0.2340707144525,0.9167058909551855,-2.0360592499999997,1.57290425,-2.7111165513549693,10.617716614000205,-23.5825910350462,18.21811308538102,,,,,147,83
walking,7.0,-0.202239065077,0.9117493152880399,-1.9047370000000001,1.6073487499999999,-2.342427492235791,10.560307235126503,-22.06155528151786,18.61706540315205,,,,,147,83
cycling,0.0,0.28450715643599994,0.8293807087610906,-1.36962575,1.8756989999999996,1.8399715646743233,5.36379098341987,-8.857676783299597,12.130565948222182,,,,,147,52
cycling,1.0,-0.26982705986899996,0.8129398055564657,-1.8780065,1.2290229999999995,-1.7450320890269706,5.257463976489632,-12.145489068043393,7.9483672771494085,,,,,147,52
cycling,2.0,-0.28490550727725,0.8191249435774458,-1.9821705,1.332465499999999,-1.842547788871443,5.297464650724867,-12.819141008696246,8.617353115548301,,,,,147,52
cycling,3.0,-0.27249427074000004,0.8023356132340217,-1.7761387499999999,1.2772257499999997,-1.7622815396949514,5.188884287373714,-11.4866874909396,8.260105268032097,,,,,147,52
cycling,7.0,-0.30749685358500006,0.8047364228360017,-1.940014,1.2448464999999986,-1.9886510902248518,5.20441086131012,-12.546505472079641,8.05070139913896,,,,,147,52
