,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.966,0.214,0.619,1.374,0.006,0.005,1152.247,1432.108,1.004
rho_weight,0.192,0.032,0.131,0.249,0.001,0.001,783.198,1208.045,1.003
alpha_workout,0.158,0.082,0.049,0.329,0.005,0.005,476.205,217.932,1.008
rho_workout,1.212,0.702,0.328,2.446,0.032,0.039,542.139,777.092,1.01
beta,-0.119,0.983,-1.933,1.619,0.023,0.026,1838.3,1181.536,1.001
sigma_weight,0.377,0.026,0.33,0.425,0.001,0.001,1772.605,1387.131,1.004
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,2457.402,1322.944,1.0
nu_weight,24.806,13.779,4.326,48.726,0.271,0.465,2657.274,1593.325,1.001
nu_workout,1.431,0.226,1.026,1.834,0.006,0.007,1139.68,349.55,1.009
"eta_inducing_raw[0, 0]",-1.682,0.477,-2.618,-0.849,0.012,0.011,1674.523,1503.351,1.001
"eta_inducing_raw[0, 1]",-1.161,0.532,-2.149,-0.356,0.021,0.014,506.073,236.136,1.007
"eta_inducing_raw[1, 0]",-0.542,0.703,-1.857,0.846,0.019,0.017,1467.945,1192.597,1.001
"eta_inducing_raw[1, 1]",-0.136,0.752,-1.505,1.386,0.018,0.021,1642.928,1226.622,1.002
"eta_inducing_raw[2, 0]",-0.677,0.932,-2.444,1.087,0.021,0.021,1938.027,1463.929,1.001
"eta_inducing_raw[2, 1]",-0.077,0.876,-1.654,1.582,0.021,0.021,1746.772,1355.223,1.011
"eta_inducing_raw[3, 0]",-0.76,0.943,-2.561,0.938,0.022,0.022,1842.547,1408.226,1.0
"eta_inducing_raw[3, 1]",-0.095,0.928,-1.804,1.761,0.022,0.026,1931.65,547.49,1.009
"eta_inducing_raw[4, 0]",-0.665,0.888,-2.286,0.934,0.02,0.026,1935.672,1425.969,1.0
"eta_inducing_raw[4, 1]",-0.104,0.925,-1.699,1.764,0.022,0.02,1812.006,1619.941,1.003
"eta_inducing_raw[5, 0]",-0.512,0.986,-2.372,1.311,0.025,0.024,1513.568,741.502,1.003
"eta_inducing_raw[5, 1]",-0.08,0.996,-1.886,1.835,0.022,0.023,2098.97,1417.578,1.003
"eta_inducing_raw[6, 0]",-0.422,1.013,-2.109,1.639,0.025,0.026,1656.095,1224.162,1.001
"eta_inducing_raw[6, 1]",-0.085,0.988,-1.922,1.757,0.033,0.025,893.667,437.017,1.002
"eta_inducing_raw[7, 0]",-0.304,0.964,-2.112,1.484,0.033,0.032,913.914,338.297,1.006
"eta_inducing_raw[7, 1]",-0.093,0.943,-1.952,1.529,0.022,0.023,1888.747,1447.348,1.004
"eta_inducing_raw[8, 0]",-0.095,0.967,-1.929,1.645,0.024,0.023,1720.294,1207.982,1.006
"eta_inducing_raw[8, 1]",-0.153,0.954,-1.893,1.586,0.02,0.022,2300.808,1108.662,1.006
"eta_inducing_raw[9, 0]",0.027,0.95,-1.731,1.763,0.023,0.023,1681.905,729.597,1.009
"eta_inducing_raw[9, 1]",-0.158,0.967,-1.979,1.616,0.019,0.025,2604.867,1015.759,1.002
"eta_inducing_raw[10, 0]",0.204,0.962,-1.559,1.974,0.024,0.022,1609.557,1489.758,1.008
"eta_inducing_raw[10, 1]",-0.164,1.011,-2.199,1.591,0.027,0.032,1442.751,376.103,1.002
"eta_inducing_raw[11, 0]",0.368,0.968,-1.504,2.177,0.021,0.025,2122.188,1100.966,1.005
"eta_inducing_raw[11, 1]",-0.157,0.998,-1.986,1.717,0.023,0.026,1972.286,1302.929,1.0
"eta_inducing_raw[12, 0]",0.425,0.967,-1.277,2.386,0.019,0.032,2724.069,895.377,1.004
"eta_inducing_raw[12, 1]",-0.15,1.007,-1.988,1.684,0.027,0.029,1380.082,765.175,1.006
"eta_inducing_raw[13, 0]",0.434,0.961,-1.433,2.129,0.02,0.026,2332.693,1495.406,1.007
"eta_inducing_raw[13, 1]",-0.185,1.023,-1.96,1.731,0.025,0.031,1714.948,794.529,1.005
"eta_inducing_raw[14, 0]",0.488,0.977,-1.304,2.298,0.018,0.023,2812.537,1513.692,1.002
"eta_inducing_raw[14, 1]",-0.183,1.063,-2.188,1.717,0.019,0.028,2993.963,1281.296,1.002
"eta_inducing_raw[15, 0]",0.482,0.926,-1.279,2.215,0.021,0.025,1870.408,1406.411,1.003
"eta_inducing_raw[15, 1]",-0.156,0.962,-1.821,1.82,0.023,0.021,1742.641,1413.499,1.002
"eta_inducing_raw[16, 0]",0.479,0.93,-1.314,2.243,0.018,0.026,2634.631,1383.76,1.002
"eta_inducing_raw[16, 1]",-0.136,0.971,-2.092,1.588,0.032,0.031,928.598,438.374,1.015
"eta_inducing_raw[17, 0]",0.427,0.946,-1.34,2.225,0.021,0.025,1956.265,1372.438,1.001
"eta_inducing_raw[17, 1]",-0.168,0.963,-2.038,1.601,0.025,0.023,1454.76,1271.591,1.002
"eta_inducing_raw[18, 0]",0.398,0.93,-1.276,2.147,0.019,0.021,2407.627,1627.507,1.002
"eta_inducing_raw[18, 1]",-0.165,0.989,-1.935,1.683,0.032,0.033,1059.557,407.16,1.006
"eta_inducing_raw[19, 0]",0.317,0.95,-1.345,2.126,0.02,0.023,2214.07,1599.845,1.003
"eta_inducing_raw[19, 1]",-0.129,0.978,-1.981,1.716,0.02,0.024,2452.589,1457.838,1.002
"eta_inducing_raw[20, 0]",0.319,0.954,-1.519,1.998,0.021,0.024,2082.545,1281.294,1.005
"eta_inducing_raw[20, 1]",-0.19,0.991,-1.907,1.811,0.023,0.03,1844.762,512.188,1.001
"eta_inducing_raw[21, 0]",0.218,0.937,-1.503,1.899,0.021,0.024,2027.435,1259.127,1.001
"eta_inducing_raw[21, 1]",-0.104,0.999,-2.064,1.738,0.032,0.033,992.406,440.94,1.003
"eta_inducing_raw[22, 0]",0.176,0.926,-1.685,1.876,0.019,0.022,2196.075,1343.086,1.002
"eta_inducing_raw[22, 1]",-0.098,0.994,-2.14,1.594,0.033,0.037,991.024,427.158,1.002
"eta_inducing_raw[23, 0]",0.088,0.95,-1.636,1.893,0.022,0.021,1885.775,1575.575,1.002
"eta_inducing_raw[23, 1]",-0.118,0.958,-1.917,1.662,0.021,0.023,2156.341,1340.746,1.002
"eta_inducing_raw[24, 0]",0.009,0.994,-1.773,1.943,0.024,0.03,1660.444,1266.83,1.005
