,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.974,0.207,0.602,1.358,0.005,0.004,1566.15,1541.312,1.002
rho_weight,0.195,0.031,0.139,0.253,0.001,0.001,1289.026,1208.548,1.0
alpha_workout,0.242,0.116,0.085,0.45,0.005,0.008,873.402,668.391,1.004
rho_workout,1.646,0.933,0.454,3.614,0.046,0.035,378.541,709.45,1.004
beta,-0.234,0.917,-1.966,1.441,0.017,0.023,3062.901,1525.722,1.001
sigma_weight,0.378,0.026,0.33,0.43,0.0,0.001,3033.771,1505.335,1.002
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,2080.316,993.394,1.003
nu_weight,24.984,13.888,4.904,49.062,0.282,0.42,2520.639,1636.648,1.002
nu_workout,1.093,0.08,1.0,1.243,0.001,0.002,2586.447,1132.238,1.002
"eta_inducing_raw[0, 0]",-1.663,0.473,-2.487,-0.722,0.01,0.011,2359.506,1600.925,1.001
"eta_inducing_raw[0, 1]",-1.256,0.511,-2.252,-0.47,0.015,0.011,889.466,663.975,1.004
"eta_inducing_raw[1, 0]",-0.597,0.725,-2.031,0.709,0.017,0.019,1845.871,1372.892,1.004
"eta_inducing_raw[1, 1]",-0.053,0.744,-1.364,1.423,0.016,0.023,2293.07,1234.689,1.004
"eta_inducing_raw[2, 0]",-0.643,0.933,-2.328,1.185,0.017,0.023,3197.408,1482.953,1.002
"eta_inducing_raw[2, 1]",-0.022,0.86,-1.604,1.552,0.016,0.022,3026.393,1453.566,1.003
"eta_inducing_raw[3, 0]",-0.791,0.916,-2.4,0.997,0.015,0.022,3906.112,1518.311,1.001
"eta_inducing_raw[3, 1]",-0.053,0.938,-1.84,1.633,0.016,0.023,3430.276,1263.518,1.003
"eta_inducing_raw[4, 0]",-0.599,0.916,-2.2,1.188,0.014,0.024,4220.759,1413.873,1.002
"eta_inducing_raw[4, 1]",-0.059,0.962,-1.906,1.687,0.017,0.023,3061.177,931.326,1.003
"eta_inducing_raw[5, 0]",-0.56,0.963,-2.277,1.254,0.016,0.022,3753.548,1416.55,1.007
"eta_inducing_raw[5, 1]",-0.072,1.002,-1.818,1.957,0.015,0.024,4424.906,1485.591,1.002
"eta_inducing_raw[6, 0]",-0.407,0.959,-2.2,1.456,0.014,0.022,4508.853,1739.868,0.999
"eta_inducing_raw[6, 1]",-0.118,1.017,-2.0,1.776,0.015,0.027,4937.716,1336.267,1.007
"eta_inducing_raw[7, 0]",-0.245,0.964,-2.008,1.53,0.015,0.023,4110.977,1393.338,1.008
"eta_inducing_raw[7, 1]",-0.14,0.995,-2.014,1.653,0.019,0.026,2906.588,1240.256,1.0
"eta_inducing_raw[8, 0]",-0.11,0.947,-1.903,1.64,0.015,0.024,3777.017,1519.972,0.999
"eta_inducing_raw[8, 1]",-0.125,0.954,-1.995,1.545,0.015,0.025,3838.344,1203.506,1.006
"eta_inducing_raw[9, 0]",0.065,1.002,-1.726,2.0,0.015,0.024,4338.298,1406.859,1.007
"eta_inducing_raw[9, 1]",-0.144,0.99,-2.044,1.699,0.018,0.024,3093.191,1364.027,1.002
"eta_inducing_raw[10, 0]",0.202,0.926,-1.617,1.908,0.015,0.024,3726.631,1441.828,1.006
"eta_inducing_raw[10, 1]",-0.124,0.944,-1.818,1.682,0.024,0.028,1573.409,546.251,1.003
"eta_inducing_raw[11, 0]",0.32,0.983,-1.596,2.098,0.016,0.026,3914.336,1427.767,1.0
"eta_inducing_raw[11, 1]",-0.175,1.025,-2.042,1.841,0.016,0.025,3988.734,1418.457,1.004
"eta_inducing_raw[12, 0]",0.437,0.996,-1.403,2.369,0.015,0.028,4141.28,1459.739,1.0
"eta_inducing_raw[12, 1]",-0.173,0.997,-2.05,1.787,0.014,0.033,4424.059,1080.86,1.004
"eta_inducing_raw[13, 0]",0.444,0.958,-1.272,2.238,0.018,0.024,2674.115,1072.823,1.001
"eta_inducing_raw[13, 1]",-0.178,1.002,-2.081,1.734,0.017,0.025,3475.045,1547.415,1.0
"eta_inducing_raw[14, 0]",0.497,0.912,-1.141,2.237,0.016,0.022,3104.193,1476.875,1.0
"eta_inducing_raw[14, 1]",-0.183,0.982,-1.94,1.795,0.017,0.03,3261.268,1220.877,1.002
"eta_inducing_raw[15, 0]",0.533,0.932,-1.279,2.175,0.014,0.022,4401.479,1649.059,0.999
"eta_inducing_raw[15, 1]",-0.211,1.01,-1.983,1.74,0.018,0.026,2979.239,1297.138,1.002
"eta_inducing_raw[16, 0]",0.468,0.937,-1.388,2.138,0.018,0.025,2649.747,1400.299,1.004
"eta_inducing_raw[16, 1]",-0.166,0.954,-2.066,1.568,0.015,0.026,4076.857,1474.09,1.003
"eta_inducing_raw[17, 0]",0.457,0.909,-1.256,2.06,0.015,0.024,3675.53,1444.199,0.999
"eta_inducing_raw[17, 1]",-0.206,1.009,-1.952,1.76,0.018,0.026,3096.745,932.397,1.002
