variable,model_type,lag_value,beta_mean,beta_std,beta_ci_low,beta_ci_high,beta_orig_mean,beta_orig_ci_low,beta_orig_ci_high,waic,loo,n_eff_beta,rhat_beta,n_weight_obs,n_workout_obs,lag_mean,lag_ci_low,lag_ci_high,n_eff_lag,rhat_lag,lag_window,lag_step,lag_days_list
strength_training,fixed,0.0,0.101516104375,0.9587778858027217,-1.74358525,1.9573274999999992,1.9047707919129153,-32.71530441260767,36.72580104567203,,,,,147,136,,,,,,,,
strength_training,fixed,1.0,-0.118894090818,0.9830998964535704,-2.000145,1.6880307499999996,-2.230838081459506,-37.52919597384479,31.672922126458932,,,,,147,136,,,,,,,,
strength_training,fixed,2.0,-0.12694580776999997,0.9513496335515642,-1.92401,1.7895814999999995,-2.3819143601380697,-36.100656875195114,33.57834298246733,,,,,147,136,,,,,,,,
strength_training,fixed,3.0,-0.1530607222665,0.9626006975132182,-1.974261,1.7558527499999994,-2.8719147071025892,-37.04352833045544,32.94548243050593,,,,,147,136,,,,,,,,
strength_training,fixed,7.0,-0.1666274111285,0.9465833591684858,-1.96726825,1.7381907499999991,-3.1264697143736497,-36.91232170036308,32.614086127092904,,,,,147,136,,,,,,,,
walking,fixed,0.0,0.2162572275975,0.9755208228135256,-1.70209975,2.1107639999999988,2.504792410537537,-19.714515825167847,24.447856408647358,,,,,147,83,,,,,,,,
walking,fixed,1.0,-0.1990209282415,0.9334251951423681,-1.99007625,1.587027,-2.305153525436242,-23.049994410677566,18.381689384813466,,,,,147,83,,,,,,,,
walking,fixed,2.0,-0.254276095905,0.9074147995188886,-2.0221329999999997,1.5132349999999983,-2.945144734720171,-23.421290690568593,17.526995908846022,,,,,147,83,,,,,,,,
walking,fixed,3.0,-0.2340707144525,0.9167058909551855,-2.0360592499999997,1.57290425,-2.7111165513549693,-23.5825910350462,18.21811308538102,,,,,147,83,,,,,,,,
walking,fixed,7.0,-0.202239065077,0.9117493152880399,-1.9047370000000001,1.6073487499999999,-2.342427492235791,-22.06155528151786,18.61706540315205,,,,,147,83,,,,,,,,
cycling,fixed,0.0,0.28450715643599994,0.8293807087610906,-1.36962575,1.8756989999999996,1.8399715646743233,-8.857676783299597,12.130565948222182,,,,,147,52,,,,,,,,
cycling,fixed,1.0,-0.26982705986899996,0.8129398055564657,-1.8780065,1.2290229999999995,-1.7450320890269706,-12.145489068043393,7.9483672771494085,,,,,147,52,,,,,,,,
cycling,fixed,2.0,-0.28490550727725,0.8191249435774458,-1.9821705,1.332465499999999,-1.842547788871443,-12.819141008696246,8.617353115548301,,,,,147,52,,,,,,,,
cycling,fixed,3.0,-0.27249427074000004,0.8023356132340217,-1.7761387499999999,1.2772257499999997,-1.7622815396949514,-11.4866874909396,8.260105268032097,,,,,147,52,,,,,,,,
cycling,fixed,7.0,-0.30749685358500006,0.8047364228360017,-1.940014,1.2448464999999986,-1.9886510902248518,-12.546505472079641,8.05070139913896,,,,,147,52,,,,,,,,
strength_training,estimated,3.07159282738,-0.15310451053,0.9102396641258961,-1.89523125,1.6367764999999985,-2.872736316697017,-35.56067434961208,30.711226453024018,,,,,147,136,3.07159282738,0.0392492775,11.529192499999995,,,,,
walking,estimated,2.9780966411655,-0.22951149228999998,0.9288566455454603,-2.0865384999999996,1.5339802499999953,-2.6583095067190357,-24.167265330996013,17.767277102367146,,,,,147,83,2.9780966411655,0.075231045,11.250494999999994,,,,,
cycling,estimated,2.9933555983750004,-0.27382360304,0.7858879882211216,-1.8139985,1.261376999999999,-1.770878629703664,-11.731534982012636,8.157607848631706,,,,,147,52,2.9933555983750004,0.07434193500000001,11.118892499999978,,,,,
strength_training,cumulative,window_7d,-0.159992116724,0.9921136587916529,-2.1273299999999997,1.8268542499999996,-3.0019701085697523,-39.91559835463891,34.27770044866809,,,,,147,136,,,,,,7.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
walking,cumulative,window_7d,-0.242599727443,0.9013402576594036,-2.0465222499999998,1.565387499999997,-2.80990357107827,-23.703778397348987,18.131050569315853,,,,,147,83,,,,,,7.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
cycling,cumulative,window_7d,-0.257404800295,0.8424906245098389,-1.9478002499999998,1.3847984999999998,-1.6646945514005493,-12.596860896438423,8.955802359146727,,,,,147,52,,,,,,7.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
